"","No..x","Name","Yr.x","Pos.x","g.x","ab","r","h","Doubles","Triples","hr","rbi","bb","k","sb","cs","avg","obp","slg","No..y","Yr.y","Pos.y","g.y","hbp","sf","sh","tb","xbh","hdp","go","fo","go/fo","pa","School","Singles","OPS","wOBA","wRAA","wSB","fOWar","wRC","Year","Position"
"105",5,"Andrew Hennings","Jr","IF",29,91,13,33,6,0,0,12,15,"12",8,0,"0.363",0.5,0.429,5,"Jr","IF",29,12,2,0,39,6,"1","26","20","1.30",120,"Middlebury",0,0.929,0.2267175,-12.0262790697674,1.1248,-0.516577774683192,13.2898209302326,"Junior","Infield"
"106",20,"Gray Goolsby","Jr","C",26,88,14,22,6,1,1,16,8,"9",9,0,"0.25",0.327,0.375,20,"Jr","C",26,3,2,2,33,8,"1","29","32","0.91",103,"Middlebury",14,0.702,0.316241584158416,-3.17450917184741,1.36,0.121169473165114,20.6280769667665,"Junior","Catcher"
"107",32,"Andrew Gough","Fr","IF",29,83,23,26,4,2,0,19,7,"11",9,2,"0.313",0.37,0.41,32,"Fr","IF",29,1,1,0,34,6,"1","19","26","0.73",92,"Middlebury",0,0.78,0.151715217391304,-14.5691472868217,0.8592,-0.796652741029569,3.2886527131783,"First-Year","Infield"
"108",39,"Alec Ritch","Fr","OF",30,78,22,20,2,0,2,6,16,"19",17,5,"0.256",0.385,0.359,39,"Fr","OF",30,1,1,0,28,4,"-","16","23","0.70",96,"Middlebury",0,0.744,0.197128125,-11.823023255814,1.1008,-0.563040662860326,7.79127674418605,"First-Year","Outfield"
"109",36,"Alan Guild","Jr","IF/OF",26,76,15,15,5,0,1,9,6,"16",3,1,"0.197",0.279,0.303,36,"Jr","IF/OF",26,3,1,0,23,6,"1","18","25","0.72",86,"Middlebury",0,0.582,0.1749,-12.0733333333333,0.0416000000000001,-0.686007984031936,5.06806666666667,"Junior","Infield"
"110",25,"Kevin Woodring","Jr","IF",21,60,10,19,4,1,3,13,11,"16",1,0,"0.317",0.411,0.567,25,"Jr","IF",21,0,2,0,34,8,"-","10","15","0.67",73,"Middlebury",11,0.978,0.422342465753425,3.75426356589148,-0.1872,0.449131504432995,22.3652635658915,"Junior","Infield"
"111",26,"Ryan Hanrahan","So","1B",19,55,6,13,2,0,1,6,3,"17",0,0,"0.236",0.3,0.327,26,"So","1B",19,2,0,0,18,3,"-","5","19","0.26",60,"Middlebury",0,0.627,0.13846,-10.1181395348837,-0.088,-0.614232001114051,1.34946046511628,"Sophomore","Infield"
"112",10,"Phil Bernstein","Sr","C",18,46,8,11,3,0,1,9,6,"9",0,2,"0.239",0.345,0.37,10,"Sr","C",18,2,1,0,17,4,"-","10","14","0.71",55,"Middlebury",0,0.715,0.213201818181818,-6.08829457364341,-0.9408,-0.388904284454347,5.34780542635659,"Senior","Catcher"
"113",13,"Jake Dianno","So","C",12,34,5,9,1,0,0,7,2,"6",4,1,"0.265",0.289,0.294,13,"So","C",12,0,2,0,10,1,"-","8","12","0.67",38,"Middlebury",0,0.583,0.0712894736842105,-8.38682170542635,0.3648,-0.505640347212551,-1.69782170542635,"Sophomore","Catcher"
"114",17,"Hamilton Evans","Jr","IF",11,25,3,3,0,0,0,3,2,"10",1,1,"0.12",0.214,0.12,17,"Jr","IF",11,1,0,1,3,0,"1","6","7","0.86",29,"Middlebury",0,0.334,0.0769392857142857,-6.27345791805094,-0.2528,-0.416137069714392,-1.13186148947951,"Junior","Infield"
"115",4,"Rory Bordiuk","Fr","IF",7,8,5,3,1,0,0,1,2,"2",3,0,"0.375",0.583,0.5,4,"Fr","IF",7,2,0,0,4,1,"-","3","-","-",12,"Middlebury",0,1.083,0.3483,-0.0716279069767435,0.5296,0.0642194680406629,2.78797209302326,"First-Year","Infield"
"116",1,"Jack Stolper","Fr","OF",8,8,2,1,1,0,0,3,1,"4",0,0,"0.125",0.3,0.25,1,"Fr","OF",8,1,0,1,2,1,"-","1","2","0.50",11,"Middlebury",0,0.55,0.27348,-0.703658914728682,-0.0352,-0.0278587012022467,1.73262108527132,"First-Year","Outfield"
"117",29,"Freddy Mosier","Fr","C",5,5,1,2,2,0,0,1,0,"1",0,0,"0.4",0.4,0.8,29,"Fr","C",5,0,0,0,4,2,"-","2","-","-",5,"Middlebury",0,1.2,0.516,0.62015503875969,0,0.0588938402265237,2.00015503875969,"First-Year","Catcher"
"118",35,"Grant Elgarten","Jr","OF/P",3,4,0,2,0,0,0,1,0,"-",0,0,"0.5",0.5,0.5,35,"Jr","OF/P",3,0,0,0,2,0,"-","-","1","-",4,"Middlebury",0,1,0,-1.10387596899225,0,-0.0726454068606972,-0.463875968992248,"Junior","Outfield"
"119",20,"Matt Koperniak","Jr","0",39,160,36,63,13,3,6,31,23,"12",22,3,".394",0.476,0.625,20,"Jr","0",39,4,2,0,100,22,"3","42","38","1.11",189,"Trinity",41,1.101,0.478665079365079,17.9718604651163,2.0032,1.96669614259852,68.5495604651163,"Junior","Outfield"
"120",14,"Geoff Stillman","Sr","0",39,137,28,39,8,2,2,17,10,"26",22,2,".285",0.342,0.416,14,"Sr","0",39,2,0,3,57,12,"1","35","35","1.00",152,"Trinity",27,0.758,0.339728859060403,-1.91721970761147,2.9136,0.453820880168803,34.0114997554758,"Senior","Outfield"
"121",13,"Johnny Stamatis","Sr","0",39,135,45,39,9,3,3,32,30,"29",31,5,".289",0.426,0.467,13,"Sr","0",39,6,5,0,63,15,"1","31","37","0.84",176,"Trinity",24,0.893,0.397774431818182,5.69945736434108,3.144,1.10105718794968,49.5977573643411,"Senior","Infield"
"122",2,"Ben Reinisch","Sr","0",38,134,37,35,7,2,1,12,28,"30",13,2,".261",0.421,0.366,2,"Sr","0",38,9,0,0,49,10,"4","37","27","1.37",171,"Trinity",25,0.787,0.370252631578947,1.88930232558141,0.7088,0.621115443531542,43.4825023255814,"Senior","Infield"
"123",30,"Alex Rodriguez","Jr","0",35,129,20,38,11,0,2,33,9,"27",7,2,".295",0.333,0.426,30,"Jr","0",35,0,3,0,55,13,"4","27","31","0.87",141,"Trinity",0,0.759,0.176117021276596,-19.6616279069767,0.4416,-1.08682843615095,8.48087209302326,"Junior","Catcher"
"124",22,"Mike Guanci jr.","Fr","0",33,114,15,28,0,0,0,20,15,"24",7,3,".246",0.348,0.246,22,"Fr","0",33,4,2,2,28,0,"2","34","26","1.31",137,"Trinity",0,0.594,0.10062,-27.1217519379845,-0.1344,-1.6983147658172,-2.10281193798449,"First-Year","Infield"
"125",1,"Robbie Cronin","Fr","0",35,110,19,29,6,0,2,12,12,"18",8,4,".264",0.341,0.373,1,"Fr","0",35,1,0,2,41,8,"-","27","36","0.75",125,"Trinity",0,0.714,0.172734146341463,-17.758319152959,-0.2288,-1.034465006459,7.09564426167518,"First-Year","Infield"
"126",28,"Mack Lauder","Jr","0",28,91,25,25,6,0,1,19,16,"28",12,1,".275",0.384,0.374,28,"Jr","0",28,2,3,0,34,7,"1","15","25","0.60",112,"Trinity",0,0.758,0.202599107142857,-13.3185271317829,1.6832,-0.59146660168036,9.70257286821706,"Junior","Cathcer"
